age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved
43.0,5.83,670.0,6.99,1.0,0
62.0,15.07,592.0,13.04,3.0,0
39.0,2.65,588.0,15.17,,0
52.0,-0.67,607.0,16.38,1.0,0
,6.42,558.0,20.07,0.0,1
49.0,6.51,723.0,14.21,1.0,0
64.0,18.87,566.0,19.0,3.0,1
26.0,13.74,760.0,10.37,2.0,0
47.0,8.1,669.0,9.45,0.0,1
37.0,9.1,1015.0,1.0,2.0,0
,9.1,690.0,17.68,1.0,1
29.0,8.15,711.0,10.22,0.0,0
,1.86,847.0,1.17,0.0,0
52.0,5.05,541.0,9.84,0.0,0
41.0,6.95,633.0,3.45,1.0,0
25.0,7.09,481.0,10.03,2.0,1
53.0,4.77,709.0,4.12,0.0,1
40.0,7.77,651.0,14.5,2.0,0
54.0,11.05,642.0,15.28,0.0,1
,3.69,618.0,9.53,1.0,0
41.0,5.68,605.0,6.11,1.0,1
28.0,8.56,600.0,26.88,0.0,1
,8.4,745.0,15.08,0.0,1
53.0,13.47,598.0,11.7,,1
26.0,3.35,579.0,15.88,0.0,1
55.0,8.25,671.0,15.08,0.0,1
46.0,13.54,787.0,16.33,1.0,0
23.0,7.67,585.0,5.62,0.0,1
28.0,6.18,529.0,5.06,1.0,0
52.0,-2.56,,,2.0,0
,5.31,691.0,16.5,0.0,1
41.0,4.4,588.0,19.33,1.0,0
41.0,15.74,611.0,6.17,1.0,1
63.0,6.83,676.0,,0.0,1
55.0,13.74,610.0,10.81,2.0,1
187.0,5.2,655.0,20.54,0.0,0
37.0,2.63,671.0,1.98,1.0,2
,4.9,-35.0,16.1,0.0,0
45.0,10.71,701.0,14.59,0.0,1
28.0,9.88,653.0,13.32,1.0,1
33.0,6.1,665.0,18.35,0.0,0
29.0,10.28,690.0,17.11,2.0,0
52.0,9.64,707.0,9.76,2.0,0
42.0,17.12,569.0,14.27,1.0,0
26.0,7.71,594.0,4.99,2.0,0
24.0,12.08,602.0,7.67,1.0,1
43.0,7.29,,14.43,0.0,0
45.0,5.84,819.0,18.18,0.0,0
48.0,13.69,716.0,12.6,1.0,1
47.0,5.38,667.0,13.2,0.0,1
24.0,9.8,599.0,9.43,1.0,0
58.0,-2.62,587.0,20.67,3.0,0
34.0,6.73,524.0,13.29,0.0,0
32.0,11.58,800.0,6.05,0.0,1
58.0,89.87992610330205,625.0,,0.0,1
46.0,5.92,583.0,10.46,0.0,0
52.0,10.42,660.0,13.05,0.0,0
57.0,3.54,719.0,13.37,2.0,0
46.0,9.92,805.0,18.04,0.0,0
26.0,11.74,455.0,16.62,1.0,1
51.0,10.16,708.0,13.19,0.0,0
40.0,8.83,780.0,12.06,2.0,1
57.0,7.95,745.0,9.39,1.0,0
,6.75,625.0,11.6,1.0,0
38.0,1.5,591.0,11.34,0.0,0
56.0,8.62,551.0,16.72,4.0,1
26.0,9.91,559.0,12.79,4.0,0
56.0,6.06,783.0,11.76,0.0,1
48.0,3.38,766.0,14.6,0.0,0
43.0,3.87,762.0,6.43,2.0,0
22.0,1.5,534.0,4.44,1.0,0
,2.86,630.0,11.15,1.0,0
48.0,7.14,617.0,18.63,2.0,0
51.0,7.17,668.0,11.92,3.0,0
49.0,4.12,543.0,1.22,,0
31.0,6.56,635.0,12.69,2.0,0
25.0,9.0,526.0,10.9,1.0,1
29.0,11.94,618.0,18.58,0.0,1
28.0,12.76,621.0,8.64,1.0,1
35.0,8.69,778.0,11.28,0.0,1
46.0,6.32,702.0,12.4,0.0,0
59.0,7.05,718.0,2.68,3.0,0
36.0,12.59,628.0,9.18,0.0,0
51.0,9.11,526.0,15.57,2.0,0
43.0,7.95,,10.35,0.0,0
42.0,4.53,779.0,17.2,2.0,1
39.0,7.04,797.0,9.86,2.0,0
44.0,5.27,718.0,21.65,0.0,0
40.0,9.9,821.0,5.94,1.0,1
167.0,1.5,809.0,23.81,3.0,0
45.0,7.33,552.0,14.73,4.0,0
44.0,8.31,387.0,14.9,4.0,0
25.0,7.54,761.0,16.87,1.0,1
22.0,6.83,578.0,15.76,4.0,0
53.0,,694.0,10.32,,1
32.0,9.8,557.0,14.61,1.0,0
60.0,10.1,664.0,19.3,2.0,1
64.0,9.52,617.0,11.66,2.0,0
39.0,8.44,715.0,1.0,0.0,0
41.0,2.47,,4.2,0.0,1
46.0,2.27,651.0,18.88,1.0,0
28.0,3.0,826.0,10.12,1.0,0
54.0,6.58,612.0,,0.0,1
55.0,7.48,770.0,8.11,0.0,1
,8.01,731.0,6.02,1.0,0
21.0,14.49,554.0,17.65,0.0,1
44.0,7.19,617.0,9.85,,0
23.0,8.14,678.0,12.92,2.0,1
26.0,10.0,546.0,9.02,1.0,0
46.0,12.73,573.0,19.06,2.0,0
34.0,16.91,567.0,10.22,0.0,1
64.0,11.54,633.0,9.41,1.0,0
57.0,13.62,659.0,11.5,3.0,0
49.0,5.67,803.0,11.47,1.0,1
44.0,3.31,643.0,16.21,2.0,0
53.0,5.0,-29.0,12.48,0.0,0
22.0,6.68,659.0,10.8,2.0,0
41.0,10.92,563.0,10.9,1.0,0
24.0,6.92,684.0,29.52,1.0,0
52.0,6.69,867.0,13.93,1.0,0
35.0,4.28,744.0,8.68,1.0,0
34.0,4.89,611.0,1.0,3.0,0
29.0,16.6,599.0,8.26,2.0,0
49.0,9.15,738.0,9.37,2.0,1
53.0,7.28,765.0,,3.0,0
55.0,1.86,,1.17,0.0,0
48.0,13.41,,11.09,1.0,0
28.0,12.03,677.0,1.0,1.0,1
58.0,6.25,477.0,12.97,0.0,1
33.0,5.21,441.0,14.42,2.0,1
38.0,4.81,594.0,9.21,1.0,0
42.0,6.97,720.0,16.7,2.0,0
37.0,7.55,642.0,23.11,2.0,0
26.0,7.96,674.0,6.23,1.0,0
55.0,7.22,748.0,13.53,1.0,0
48.0,7.31,524.0,2.97,1.0,0
58.0,13.86,727.0,12.66,2.0,1
43.0,1.51,635.0,12.87,2.0,0
57.0,13.57,723.0,9.4,1.0,1
48.0,10.96,641.0,17.72,3.0,1
45.0,5.97,627.0,14.76,,1
60.0,1.5,596.0,5.27,3.0,0
37.0,11.54,701.0,20.33,2.0,1
43.0,3.42,796.0,4.74,2.0,1
,5.88,523.0,6.03,0.0,0
27.0,3.75,683.0,12.11,1.0,0
46.0,2.71,686.0,,2.0,0
23.0,8.45,497.0,12.06,0.0,0
31.0,8.93,690.0,14.83,0.0,1
46.0,12.84,697.0,12.22,,1
43.0,5.88,552.0,4.86,0.0,1
62.0,7.06,587.0,19.72,2.0,0
32.0,9.31,600.0,21.44,2.0,0
51.0,10.71,686.0,18.69,1.0,0
22.0,7.97,728.0,8.26,1.0,0
37.0,-0.93,782.0,17.24,0.0,1
33.0,6.82,572.0,1.0,0.0,0
31.0,15.67,668.0,13.64,2.0,0
60.0,10.4,485.0,6.52,0.0,1
51.0,8.67,576.0,16.08,3.0,0
35.0,3.59,621.0,18.65,0.0,1
56.0,13.74,606.0,1.0,2.0,1
31.0,5.56,771.0,16.4,0.0,0
61.0,7.57,674.0,7.08,1.0,0
49.0,,684.0,16.7,2.0,1
27.0,10.56,631.0,8.6,,0
46.0,9.28,543.0,13.84,0.0,1
34.0,107.14715798276518,702.0,12.97,1.0,0
36.0,6.57,520.0,10.93,2.0,0
59.0,3.29,615.0,16.28,0.0,1
45.0,8.81,647.0,19.32,0.0,0
38.0,12.77,624.0,19.25,2.0,1
45.0,3.54,648.0,9.07,0.0,0
63.0,10.14,641.0,1.95,2.0,0
25.0,11.75,690.0,18.33,0.0,1
25.0,8.81,643.0,13.13,3.0,1
45.0,7.95,734.0,5.8,1.0,0
49.0,4.68,535.0,16.43,0.0,0
59.0,10.4,647.0,1.0,,1
32.0,8.72,671.0,1.0,0.0,1
39.0,14.0,784.0,7.21,1.0,1
54.0,16.8,481.0,3.25,1.0,1
28.0,3.84,621.0,16.45,1.0,0
53.0,9.36,610.0,14.45,2.0,1
57.0,3.15,725.0,171.64461034129192,3.0,0
33.0,11.55,606.0,10.26,0.0,0
54.0,5.03,557.0,13.74,2.0,0
32.0,7.81,491.0,6.1,0.0,1
45.0,6.26,753.0,16.81,1.0,1
58.0,6.33,587.0,5.15,1.0,1
,,600.0,15.15,,1
22.0,9.5,837.0,13.87,2.0,0
24.0,8.24,584.0,7.56,0.0,0
45.0,6.97,855.0,,1.0,1
36.0,6.61,565.0,6.06,2.0,0
59.0,11.76,750.0,11.93,0.0,1
21.0,11.62,776.0,2.16,1.0,1
39.0,7.1,731.0,19.65,,1
54.0,9.77,627.0,16.57,1.0,0
43.0,10.99,592.0,11.27,,1
41.0,8.9,764.0,,1.0,0
,15.66,736.0,1.0,2.0,1
31.0,8.84,629.0,21.42,0.0,1
,,637.0,16.07,1.0,0
27.0,7.94,669.0,13.89,3.0,0
62.0,4.49,693.0,1.0,2.0,1
58.0,7.94,626.0,2.76,2.0,0
25.0,10.56,673.0,14.9,4.0,0
56.0,9.03,797.0,5.44,1.0,0
54.0,4.52,546.0,10.47,1.0,0
24.0,4.99,596.0,28.07,2.0,0
46.0,2.61,572.0,23.03,0.0,1
57.0,11.26,754.0,10.66,,-1
26.0,5.01,539.0,15.88,1.0,2
55.0,12.62,773.0,6.87,2.0,2
26.0,11.74,455.0,16.62,1.0,1
58.0,5.41,630.0,8.95,1.0,0
38.0,2.34,618.0,3.76,1.0,0
26.0,,1106.0,14.8,1.0,0
61.0,12.24,644.0,18.68,2.0,0
36.0,3.46,575.0,1.0,2.0,0
47.0,3.35,654.0,,,0
42.0,3.21,574.0,8.06,3.0,0
59.0,12.67,573.0,4.26,1.0,0
33.0,3.07,563.0,13.01,1.0,1
57.0,13.32,765.0,1.27,1.0,0
31.0,9.95,517.0,,0.0,1
39.0,5.49,679.0,9.02,3.0,0
40.0,8.5,716.0,17.79,1.0,0
57.0,7.57,526.0,20.24,0.0,1
52.0,8.76,572.0,10.75,0.0,0
50.0,12.57,720.0,7.11,0.0,0
64.0,3.06,489.0,3.44,0.0,0
37.0,10.86,500.0,6.81,0.0,0
,6.86,604.0,,1.0,0
31.0,7.59,687.0,8.42,0.0,0
40.0,5.89,574.0,6.63,1.0,0
23.0,7.87,702.0,9.42,,1
49.0,13.55,669.0,11.82,1.0,0
60.0,8.22,708.0,12.26,0.0,1
32.0,8.8,685.0,1.38,2.0,0
64.0,4.17,679.0,11.15,1.0,0
58.0,3.35,713.0,8.99,1.0,0
42.0,4.09,667.0,6.41,2.0,1
61.0,12.0,655.0,7.14,2.0,0
28.0,10.24,,3.69,1.0,1
38.0,14.53,780.0,19.51,0.0,1
46.0,7.76,551.0,13.53,2.0,0
48.0,6.17,809.0,5.98,0.0,0
57.0,14.87,650.0,17.17,4.0,0
52.0,17.45,747.0,1.0,1.0,1
21.0,14.9,744.0,20.67,-3.0,1
31.0,4.32,781.0,282.4586593848851,2.0,0
46.0,9.3,698.0,15.03,1.0,0
53.0,5.54,501.0,10.53,0.0,0
62.0,5.07,528.0,27.03,0.0,1
48.0,1.5,688.0,5.65,1.0,0
50.0,5.68,664.0,7.21,0.0,1
59.0,12.95,686.0,14.52,0.0,0
59.0,8.04,663.0,17.93,1.0,0
46.0,10.91,603.0,6.58,1.0,0
27.0,3.31,778.0,11.99,,0
61.0,5.63,746.0,19.13,2.0,1
49.0,7.5,709.0,13.31,1.0,1
55.0,2.91,633.0,4.42,1.0,0
61.0,8.1,-21.0,23.82,2.0,1
29.0,13.0,602.0,11.23,2.0,1
22.0,11.82,716.0,12.37,2.0,1
60.0,13.05,652.0,16.09,1.0,1
63.0,9.48,703.0,11.75,0.0,1
24.0,3.55,526.0,15.1,2.0,0
42.0,9.03,662.0,20.77,1.0,1
46.0,9.64,678.0,9.19,3.0,1
45.0,,727.0,10.7,3.0,1
50.0,6.94,786.0,3.45,1.0,1
60.0,4.05,610.0,9.67,0.0,1
38.0,8.9,702.0,1.0,0.0,1
51.0,8.57,422.0,19.88,1.0,0
23.0,7.34,574.0,9.77,5.0,0
33.0,6.39,755.0,8.37,0.0,1
45.0,3.54,648.0,9.07,0.0,0
43.0,5.64,641.0,6.47,1.0,1
39.0,1.83,579.0,11.19,0.0,0
46.0,12.79,764.0,17.69,3.0,0
46.0,10.69,660.0,22.22,1.0,0
56.0,11.3,737.0,3.92,3.0,1
40.0,4.5,660.0,4.81,0.0,1
,3.76,698.0,19.59,0.0,0
59.0,11.54,654.0,9.61,3.0,0
53.0,14.34,765.0,18.64,0.0,0
53.0,12.55,549.0,3.59,2.0,1
62.0,7.1,599.0,14.91,,0
59.0,13.23,,21.95,1.0,1
24.0,8.29,,16.58,0.0,0
37.0,7.44,597.0,14.0,2.0,0
55.0,11.54,621.0,13.29,1.0,0
31.0,9.87,636.0,12.45,0.0,1
64.0,10.69,754.0,22.74,0.0,1
21.0,11.04,632.0,3.67,0.0,1
48.0,7.25,634.0,8.61,0.0,1
49.0,6.48,502.0,17.52,-3.0,0
27.0,5.4,549.0,6.19,2.0,0
47.0,10.9,571.0,9.58,0.0,1
-2.0,4.85,550.0,20.04,1.0,0
51.0,9.96,476.0,6.76,0.0,0
57.0,6.19,718.0,13.07,1.0,0
38.0,8.43,533.0,4.53,1.0,0
28.0,5.54,673.0,6.28,1.0,1
34.0,12.95,-40.0,12.79,2.0,1
49.0,4.24,562.0,7.48,2.0,1
44.0,4.54,592.0,15.7,0.0,0
53.0,6.01,643.0,12.48,3.0,0
31.0,10.09,798.0,8.77,2.0,1
52.0,11.04,584.0,11.05,1.0,1
43.0,6.76,,13.13,0.0,1
21.0,17.6,661.0,8.21,1.0,0
24.0,14.64,651.0,10.0,2.0,1
59.0,11.54,654.0,9.61,3.0,0
64.0,10.38,557.0,12.29,2.0,1
52.0,7.48,635.0,12.65,2.0,0
36.0,118.88255041360709,,4.69,1.0,1
21.0,10.88,612.0,11.53,1.0,0
32.0,8.9,706.0,10.07,0.0,0
62.0,11.45,765.0,10.55,1.0,1
55.0,11.16,560.0,,1.0,1
29.0,1.59,452.0,8.99,1.0,0
45.0,-3.71,577.0,20.77,0.0,0
56.0,10.56,665.0,19.8,0.0,0
59.0,9.35,650.0,16.49,3.0,0
37.0,8.6,640.0,15.8,1.0,1
37.0,10.01,552.0,5.9,2.0,1
46.0,10.08,721.0,25.09,1.0,1
53.0,10.37,670.0,8.64,0.0,0
46.0,10.31,688.0,5.52,3.0,0
40.0,2.32,677.0,23.47,0.0,0
21.0,9.73,805.0,11.93,2.0,1
30.0,11.83,584.0,8.12,2.0,0
52.0,6.98,659.0,25.84,2.0,0
39.0,7.77,608.0,5.9,1.0,0
23.0,9.77,519.0,2.35,0.0,1
50.0,7.43,707.0,23.3,0.0,1
25.0,12.6,791.0,2.29,0.0,1
37.0,1.5,632.0,3.62,0.0,0
49.0,7.1,656.0,211.5246472562705,0.0,0
29.0,9.32,728.0,9.75,1.0,1
62.0,6.82,819.0,,0.0,1
50.0,11.3,-29.0,17.05,1.0,0
39.0,10.95,516.0,12.43,2.0,1
49.0,3.36,686.0,8.26,2.0,0
29.0,5.96,551.0,17.22,2.0,0
25.0,8.15,706.0,14.83,4.0,0
28.0,11.35,677.0,18.41,1.0,0
52.0,-4.01,852.0,13.83,1.0,1
33.0,8.61,613.0,10.07,3.0,0
57.0,1.5,570.0,18.83,2.0,0
23.0,4.7,651.0,9.19,0.0,0
59.0,8.24,637.0,17.22,2.0,0
44.0,8.52,628.0,19.43,2.0,1
25.0,11.66,650.0,13.73,2.0,0
29.0,4.45,626.0,16.34,3.0,1
58.0,11.01,611.0,14.22,0.0,0
28.0,15.57,791.0,9.94,1.0,1
54.0,12.4,677.0,15.41,5.0,0
31.0,9.64,711.0,,1.0,1
25.0,9.21,829.0,4.91,0.0,0
23.0,9.51,700.0,5.21,2.0,1
58.0,4.09,570.0,20.19,1.0,0
30.0,11.83,584.0,8.12,2.0,0
46.0,4.52,678.0,16.6,1.0,0
60.0,5.6,587.0,11.56,1.0,0
61.0,14.88,493.0,5.44,,1
34.0,6.27,,5.93,2.0,1
57.0,13.65,753.0,5.45,-2.0,1
30.0,,653.0,2.53,0.0,0
33.0,,605.0,13.01,3.0,0
53.0,-2.43,605.0,11.04,1.0,1
24.0,9.16,698.0,22.15,1.0,0
37.0,2.76,703.0,7.97,1.0,0
50.0,1.99,677.0,1.0,1.0,0
40.0,,780.0,12.06,2.0,1
46.0,8.55,847.0,13.58,1.0,0
45.0,11.75,557.0,25.31,3.0,0
39.0,7.56,771.0,16.21,1.0,1
55.0,13.25,595.0,10.54,1.0,0
,1.5,618.0,7.45,0.0,0
61.0,8.72,711.0,25.54,0.0,0
56.0,12.37,605.0,15.17,2.0,1
33.0,6.46,520.0,16.18,-3.0,0
55.0,5.95,670.0,9.67,,1
38.0,,710.0,4.43,2.0,0
50.0,4.29,615.0,14.58,2.0,0
6.0,8.28,709.0,13.7,0.0,1
58.0,13.86,727.0,12.66,2.0,1
22.0,8.39,647.0,15.95,1.0,0
28.0,15.15,833.0,13.38,1.0,1
44.0,6.65,563.0,14.04,0.0,1
30.0,5.44,638.0,18.12,2.0,0
32.0,6.4,,11.86,1.0,1
28.0,6.89,660.0,13.38,0.0,0
40.0,7.84,579.0,15.92,3.0,0
45.0,2.62,,17.53,0.0,0
59.0,3.56,536.0,7.55,1.0,0
62.0,11.76,,16.22,1.0,1
56.0,15.67,834.0,12.99,1.0,1
,4.48,647.0,11.91,3.0,1
55.0,,717.0,13.12,0.0,0
40.0,12.33,688.0,1.0,3.0,1
21.0,7.3,689.0,15.79,0.0,0
27.0,3.62,505.0,2.6,1.0,1
56.0,11.7,618.0,18.73,2.0,0
,11.93,583.0,17.27,2.0,0
45.0,14.69,766.0,3.67,3.0,1
28.0,8.97,779.0,1.14,1.0,1
44.0,11.88,675.0,19.7,1.0,0
37.0,7.97,623.0,7.22,2.0,0
,6.33,645.0,9.37,1.0,1
30.0,4.8,735.0,1.59,2.0,1
43.0,6.76,746.0,13.13,-1.0,1
26.0,5.67,525.0,18.64,2.0,0
42.0,7.66,597.0,18.37,0.0,0
46.0,5.71,762.0,12.93,0.0,0
21.0,6.49,738.0,6.33,0.0,1
41.0,6.74,688.0,23.69,0.0,0
39.0,4.91,707.0,14.04,2.0,0
46.0,8.72,,17.78,2.0,1
56.0,8.43,636.0,10.06,2.0,1
44.0,5.16,764.0,14.79,0.0,0
63.0,8.62,646.0,9.45,0.0,0
,9.4,,7.67,1.0,1
31.0,9.25,773.0,10.56,,1
48.0,7.65,743.0,8.33,2.0,1
26.0,1.5,734.0,12.32,2.0,0
21.0,10.57,747.0,14.59,1.0,1
31.0,8.46,520.0,18.51,1.0,0
53.0,,664.0,3.64,1.0,1
48.0,12.59,722.0,7.37,0.0,1
39.0,12.21,591.0,11.93,0.0,1
53.0,1.5,660.0,17.19,1.0,0
64.0,7.17,692.0,4.42,2.0,0
22.0,6.73,544.0,9.86,0.0,1
60.0,5.52,536.0,3.41,0.0,0
47.0,9.57,523.0,11.05,0.0,0
32.0,11.95,707.0,21.67,1.0,1
22.0,10.75,673.0,18.19,0.0,1
46.0,15.15,571.0,13.45,0.0,0
23.0,9.5,652.0,13.5,0.0,0
44.0,10.74,,7.07,1.0,0
41.0,1.71,535.0,9.49,3.0,0
30.0,10.78,643.0,9.67,1.0,0
32.0,8.77,703.0,19.43,1.0,1
46.0,6.63,607.0,,0.0,1
,11.01,604.0,7.01,2.0,1
28.0,,501.0,13.49,3.0,0
38.0,13.67,717.0,12.39,1.0,1
29.0,9.85,725.0,8.75,0.0,1
48.0,8.89,595.0,3.65,1.0,0
39.0,4.92,575.0,7.47,1.0,0
35.0,10.67,635.0,,0.0,0
57.0,5.34,667.0,13.36,0.0,0
55.0,6.95,537.0,12.34,0.0,0
64.0,9.46,785.0,17.99,0.0,1
52.0,5.69,653.0,1.47,2.0,1
24.0,13.73,613.0,6.06,0.0,1
55.0,4.33,642.0,7.4,0.0,0
34.0,3.78,702.0,20.7,2.0,1
64.0,2.47,668.0,9.67,2.0,0
44.0,7.74,559.0,17.27,1.0,0
24.0,12.5,758.0,6.98,2.0,0
26.0,7.71,594.0,4.99,2.0,0
35.0,1.5,661.0,6.58,3.0,0
26.0,4.07,608.0,9.39,1.0,0
25.0,3.41,766.0,14.99,1.0,0
43.0,6.38,574.0,14.19,0.0,1
50.0,13.28,666.0,11.66,0.0,1
55.0,8.31,638.0,15.91,0.0,1
36.0,4.75,840.0,7.0,,1
64.0,1.5,645.0,4.27,3.0,0
40.0,10.1,601.0,18.11,1.0,1
53.0,7.04,767.0,18.75,0.0,0
59.0,16.45,634.0,2.02,0.0,1
30.0,1.5,526.0,21.49,2.0,0
,5.51,682.0,15.82,2.0,1
34.0,,435.0,18.46,0.0,1
43.0,8.14,566.0,16.18,2.0,0
21.0,9.41,632.0,16.32,1.0,1
64.0,9.12,597.0,6.78,0.0,0
21.0,12.71,619.0,8.59,2.0,1
28.0,,553.0,5.3,3.0,0
29.0,10.61,790.0,16.94,1.0,0
27.0,5.01,691.0,2.32,1.0,0
60.0,9.51,525.0,16.27,3.0,0
